name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Casio - Youth - F - 91WM - 7ADF,Youth,"
      Casio","EGP 1,375.00",Unisex,China,Quartz,Resin,Resin,Acrylic,F-91WM-7ADF
Casio - General - MTP - 1302D - 7A2VDF,General,"
      Casio","EGP 3,350.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1302D-7A2VDF
Lacoste - Rider - 2030044,Rider,"
      Lacoste","EGP 4,530.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2030044
Casio - General - MTP - 1314L - 8AVDF,General,"
      Casio","EGP 2,695.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-1314L-8AVDF
Casio - General - MTP - VD300 - 1BUDF,General,"
      Casio","EGP 3,495.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,MTP-VD300-1BUDF
Casio - General - MTP - VT01L - 1B2UDF,General,"
      Casio","EGP 2,295.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-1B2UDF
Casio - General - MTP - V005L - 1B4UDF,General,"
      Casio","EGP 1,775.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-V005L-1B4UDF
Casio - General - MTP - VD01D - 2EVUDF,General,"
      Casio","EGP 2,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VD01D-2EVUDF
Casio - Vintage - B640WGG - 9DF,Vintage,"
      Casio","EGP 4,795.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,B640WGG-9DF
Lacoste - Lacoste.12.12 - 2010985,Lacoste.12.12,"
      Lacoste","EGP 5,900.00",Unisex,China,Quartz,Resin,Silicone,Mineral,2010985
Casio - G - Shock - GA - 400HR - 1ADR,G-Shock,"
      Casio","EGP 9,695.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-400HR-1ADR
Casio - Vintage - A159WGEA - 1DF,Casio,"
      Vintage","EGP 4,195.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,A159WGEA-1DF
Casio - G - Shock - GG - B100 - 1ADR,G-Shock,Unknown,"EGP 27,795.00",Unisex,China,Unknown,Resin,Resin,Mineral,GG-B100-1ADR
Casio - General - MTP - 1375D - 1AVDF,General,"
      Casio","EGP 4,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral Glass,MTP-1375D-1AVDF
